Year,Free lunch,Reduced Lunch,Paid,Total,
2010,16429,2015,13884,32328,
2011,17922,1713,12655,32290,
2012,18247,1556,13298,33101,
2013,18952,1837,12727,33546,
2014,20383,1763,12034,34180,
